Location B1 B2 B3 B4
1 46 66.87 79 56.62
2 39.5 68 74 57.5
3 43.37 64.25 75.87 63.62
4 45.25 64.5 74.25 67.87
5 54.42 69.5 76.62 68
6 51.12 63 73.12 62.62
7 51.87 67 75.87 65.25
8 48.5 56.25 77.12 68.75
9 56.25 55.62 69.62 72.5
10 56.75 59 66.75 77.37
11 59 57.87 65.75 70.37
12 61 65 67.5 79.37
13 65.62 50.5 68.25 81
14 57.5 50.87 62.25 80.85
15 71 50.66 61.11 74.33
16 63.62 52.5 61.87 77
17 67.75 54 57.75 84.71
18 59.25 48.12 63 75.12
19 62.87 44.25 51.25 82
20 61 43 53 80.42
21 74.75 45.5 53.5 79.87
22 73.37 42.75 54 75
23 79 42.12 49.12 78.37
24 80.37 45.87 48.5 69.62
25 82.42 43.37 42.25 73.87
26 80 51.25 38.75 74.37
27 79.25 48.25 45.87 69
28 82.57 59.75 43.37 64.75
29 82.83 57 42.22 70
30 77 59.77 39.66 63.77
31 78.75 61.37 39.25 63.62
32 79 58.25 47.5 59.12
33 79.5 61.62 43.5 62
34 78.87 59.37 45.37 56
35 75.75 57 54.12 69
36 73.87 62.62 45.37 66.62
37 80 67.62 53.75 53.87
38 67.5 66.37 57.62 62.62
39 67.75 66.12 59.37 55.5
40 74.22 69.88 52.22 57.88
41 70.5 68.25 56.87 51.12
42 70.5 69 67.75 46.62
43 66.62 69.25 58.87 50
44 66.62 79 56.87 45.25
45 58 81.5 59.87 51
46 60.62 77.75 61.62 54.25
47 59.12 72.5 56.75 46.37
48 59.25 84 76.87 48.62
49 47.25 83 76.5 50.5
50 53.37 80.5 80 47.25
51 51.25 80.14 71.12 54
52 54.62 79.87 77.87 47.25
53 43.12 81.37 80.12 45.37
54 43.5 73.25 81.12 55.75
